Date,Close,High,Low,Open,Volume,RSI,EMA_9,SMA_5,SMA_10,SMA_15,SMA_30,MACD,MACD_signal,target
2020-04-06,4180.254439492943,4753.451183794682,4550.559974730275,4571.263159328684,78184000,50.96343800729116,4241.0912687735145,4099.577607588455,4202.1831190591565,4083.2285836793294,4722.3349350330855,-190.27448071642812,-252.12471960143466,True
2020-04-07,4661.8596609128645,5051.577247734306,4620.950990550398,4749.3107402879095,149153500,52.33078893945626,4228.9239029174005,4132.437299114694,4099.768011643077,4083.095642876271,4679.709825059079,-142.64974742872073,-230.22972516689188,False
2020-04-08,4349.966863918889,4687.200251635981,4538.1373461069215,4683.059615371284,106111500,50.245409835917656,4315.5110545164935,4330.397623073288,4194.253171260774,4134.687155642995,4584.4964421567365,-128.59162113811362,-209.90210436113625,True
2020-04-09,4905.688866936235,4716.185294225453,4554.700459743633,4637.513195375335,89997000,56.609811326668655,4322.402216396973,4578.398427299869,4371.419000450522,4162.384108229745,4543.483151553202,-71.78088809265773,-182.27786110744057,False
2020-04-13,4849.461348445184,4649.9343372691765,4538.137162642045,4587.824795809659,58043000,48.592229122426545,4439.059546504825,4526.060924769709,4301.048175269193,4204.528884283002,4477.08842990973,-30.938424781768845,-152.00997384230624,False
2020-04-14,2942.1515305475214,4629.232607802584,4509.154123342589,4558.841772084656,95796000,47.02584871986592,4521.139906892897,4589.446235941223,4344.511921764839,4331.270824686511,4465.382753056217,-150.73684014220544,-151.7553471022861,True
2020-04-15,5075.36971640332,4662.356279733079,4509.152743010056,4567.121648797146,95342000,58.90469694423358,4205.342231623822,4341.825654152139,4237.131476633416,4180.4538924794315,4370.221996155346,-72.70694743448166,-135.9456671687252,False
2020-04-16,4146.204827047243,4571.262859315363,4293.840203904014,4542.278402779849,176990500,43.86199024557069,4379.347728579722,4424.52766525023,4377.462644161759,4271.011335923926,4388.604109920679,-84.86526258436243,-125.72958625185265,True
2020-04-17,5032.531123909595,4509.15385719686,4372.512831221198,4389.075379824309,160935500,52.66004011611407,4332.719148273226,4383.775257875901,4481.086842587885,4375.537752925648,4365.262414693746,-22.71979051522885,-105.12762710452789,False
2020-04-20,4911.284467777387,4554.701542075163,4413.919858047386,4496.732613357844,90744000,53.950010446074735,4472.6815434005,4409.143709270573,4467.6023170201415,4337.080019936319,4377.286133881815,16.556498970158827,-80.79080188959055,False
2020-04-21,4747.1785886769085,4511.283257063045,4347.0068359375,4511.283257063045,73431000,54.81967711024984,4560.402128275878,4421.508333137013,4505.477284539118,4370.177392222231,4390.766684987612,34.04877531713191,-57.82288644824607,True
2020-04-22,4836.777030572811,4410.19149308719,4250.127236413538,4347.008233873907,107263500,58.083614627142325,4597.7574203560835,4782.513744762891,4562.169699457515,4418.925566009907,4327.592861338868,54.51298405569105,-35.35571234745865,False
2020-04-23,3078.6227810557384,4418.6154799461365,4313.31005859375,4363.856660842896,105419500,39.94020812341361,4645.561342399429,4734.79520759679,4579.66143642351,4496.573498640103,4353.074104176409,-70.32665560128135,-42.34990099822319,True
2020-04-24,4501.528632504288,4330.159846608231,4144.822265625,4313.310975609756,131149500,49.8612048728532,4332.173630130691,4521.278798398487,4452.527028137194,4494.484161191419,4302.085026499212,-53.825887631774094,-44.64509832493337,False
